time,open,high,low,close,volume,spread,day_of_week
2020.01.02 00:00:00,108.698,108.728,108.635,108.704,1531,6,4
2020.01.02 04:00:00,108.704,108.796,108.693,108.781,1951,6,4
2020.01.02 08:00:00,108.782,108.861,108.763,108.769,2969,6,4
2020.01.02 12:00:00,108.769,108.803,108.210,108.269,4312,6,4
2020.01.02 16:00:00,108.268,108.567,108.259,108.545,3536,6,4
2020.01.02 20:00:00,108.545,108.613,108.492,108.537,2347,6,4
2020.01.03 00:00:00,108.539,108.560,107.998,108.179,5719,6,5
2020.01.03 04:00:00,108.179,108.226,107.913,107.944,4788,6,5
2020.01.03 08:00:00,107.945,108.127,107.918,108.027,5603,6,5
2020.01.03 12:00:00,108.026,108.264,107.994,108.034,6461,6,5
2020.01.03 16:00:00,108.035,108.087,107.842,108.012,4961,6,5
2020.01.03 20:00:00,108.011,108.116,108.011,108.100,1290,6,5
2020.01.05 20:00:00,107.889,107.954,107.767,107.951,2757,12,0
2020.01.06 00:00:00,107.959,108.118,107.914,108.054,5194,6,1
2020.01.06 04:00:00,108.054,108.172,107.971,108.098,3535,6,1
2020.01.06 08:00:00,108.099,108.131,107.923,108.058,4360,6,1
2020.01.06 12:00:00,108.059,108.361,108.041,108.315,5052,6,1
2020.01.06 16:00:00,108.317,108.503,108.292,108.452,3288,6,1
2020.01.06 20:00:00,108.452,108.457,108.321,108.402,2461,6,1
2020.01.07 00:00:00,108.407,108.493,108.374,108.468,3562,6,2
2020.01.07 04:00:00,108.469,108.502,108.260,108.313,3882,6,2
2020.01.07 08:00:00,108.316,108.496,108.309,108.394,4426,6,2
2020.01.07 12:00:00,108.394,108.625,108.317,108.605,5500,6,2
2020.01.07 16:00:00,108.605,108.624,108.509,108.527,3107,6,2
2020.01.07 20:00:00,108.527,108.553,107.834,107.990,4957,6,2
2020.01.08 00:00:00,107.992,108.456,107.649,108.359,12816,6,3
2020.01.08 04:00:00,108.359,108.461,108.273,108.418,5234,6,3
2020.01.08 08:00:00,108.419,108.769,108.395,108.718,5738,6,3
