time,open,high,low,close,volume,spread,day_of_week
2020.01.02 00:00:00,108.698,108.861,108.210,108.537,16646,6,4
2020.01.03 00:00:00,108.539,108.560,107.842,108.100,28822,6,5
2020.01.05 00:00:00,107.889,107.954,107.767,107.951,2757,12,0
2020.01.06 00:00:00,107.959,108.503,107.914,108.402,23890,6,1
2020.01.07 00:00:00,108.407,108.625,107.834,107.990,25434,6,2
2020.01.08 00:00:00,107.992,109.239,107.649,109.032,40692,6,3
2020.01.09 00:00:00,109.033,109.576,109.029,109.491,22931,6,4
2020.01.10 00:00:00,109.492,109.683,109.434,109.489,16206,6,5
2020.01.12 00:00:00,109.527,109.580,109.502,109.545,2482,12,0
2020.01.13 00:00:00,109.548,109.992,109.532,109.992,14182,6,1
2020.01.14 00:00:00,110.000,110.207,109.808,109.845,22868,6,2
2020.01.15 00:00:00,109.848,109.997,109.787,109.874,18702,6,3
2020.01.16 00:00:00,109.878,110.218,109.873,110.174,15430,6,4
2020.01.17 00:00:00,110.176,110.284,110.048,110.138,14269,6,5
2020.01.19 00:00:00,110.088,110.184,110.088,110.182,1135,12,0
2020.01.20 00:00:00,110.183,110.214,110.113,110.169,10234,6,1
2020.01.21 00:00:00,110.171,110.218,109.758,109.907,21686,6,2
2020.01.22 00:00:00,109.908,110.092,109.674,109.730,17903,6,3
2020.01.23 00:00:00,109.730,109.761,109.265,109.554,21964,6,4
2020.01.24 00:00:00,109.559,109.648,109.170,109.256,19457,6,5
2020.01.26 00:00:00,108.949,109.006,108.728,108.796,2865,12,0
2020.01.27 00:00:00,108.796,109.133,108.796,108.926,27056,6,1
2020.01.28 00:00:00,108.927,109.234,108.757,109.131,23056,6,2
2020.01.29 00:00:00,109.132,109.253,108.941,108.982,21227,6,3
2020.01.30 00:00:00,108.983,109.043,108.582,108.880,29093,6,4
2020.01.31 00:00:00,108.884,109.130,108.310,108.353,26219,6,5
2020.02.02 00:00:00,108.427,108.430,108.312,108.368,2119,12,0
