variant,xau_n,xau_expR,eur_n,eur_expR,comb_n,comb_expR,t,pf,win
R2_SL1.0_RR2.0,762,-0.006318979238094667,835,-0.06204366547337337,1597,-0.03545492977438629,-1.0756234345293052,0.9434364347001137,35.253600500939264
R2_SL1.0_RR3.0,762,0.016549644358341352,835,-0.09274527643610002,1597,-0.040595790120906326,-1.107379073027469,0.9373358387057321,32.686286787726985
R2_SL1.5_RR2.0,762,0.027789412445922573,835,-0.05516702633963346,1597,-0.015584805704321178,-0.5478816465567835,0.969335331389741,41.26487163431434
R2_SL1.5_RR3.0,762,-0.0013663439845678599,835,-0.08851387028256831,1597,-0.04693189467888869,-1.596417930206959,0.9095323109984202,39.88728866624922
R4_SL1.0_RR2.0,599,0.00981232911408229,704,-0.08904734844898018,1303,-0.043600727681309855,-1.1917253417325222,0.9310423408602545,34.68917881811205
R4_SL1.0_RR3.0,599,0.02808631825575806,704,-0.12605192933615725,1303,-0.05519328750380327,-1.3519726933189846,0.9160944193432332,31.619339984650807
R4_SL1.5_RR2.0,599,0.01843727501909433,704,-0.07376199425718419,1303,-0.03137721889533395,-0.9871747464663078,0.9399063835650626,39.98465080583269
R4_SL1.5_RR3.0,599,0.007975630702605502,704,-0.11379710740559723,1303,-0.0578171610304526,-1.7505034262404793,0.8911954002712682,38.7567152724482
R8_SL1.0_RR2.0,525,-0.0050983452265445685,585,-0.06692600066085759,1110,-0.03768319065814198,-0.9510930142394673,0.9400032347872809,34.95495495495496
R8_SL1.0_RR3.0,525,-0.011241376910470608,585,-0.10136729027599779,1110,-0.05874016908959979,-1.3298094122654194,0.9108062030319085,31.44144144144144
R8_SL1.5_RR2.0,525,-0.010712756833954909,585,-0.07873691912380697,1110,-0.04656332885157966,-1.353833902983896,0.9121195525806072,39.549549549549546
R8_SL1.5_RR3.0,525,-0.015267771908309516,585,-0.11540524367281899,1110,-0.0680429259463618,-1.8966284165763703,0.8735261239223842,38.37837837837838
