Date,Close,High,Low,Open,Volume
2005-12-12,103.47545623779297,103.7264430030684,103.40622374630595,103.52738886016257,601000
2005-12-13,103.4668197631836,103.76973258723093,103.2504525170063,103.32834155618804,155100
2005-12-14,103.94282531738281,104.35825334165757,103.8822427516557,104.22843167138393,441400
2005-12-15,103.64851379394531,103.91680692733591,103.3802140575538,103.84756785968644,562400
2005-12-16,104.0466537475586,104.05531028386321,103.83894309726556,103.83894309726556,281600
2005-12-19,103.97742462158203,104.02935063837789,103.81298343105763,103.83029650532502,48200
2005-12-20,102.7571029663086,103.26772633637718,102.55804225744994,103.26772633637718,126600
2005-12-21,102.51477813720703,102.58401722688573,102.23782838149523,102.54074774808882,468800
2005-12-22,102.87828063964844,103.03406529080704,102.73114592249645,102.73114592249645,268900
2005-12-23,102.87828063964844,102.88693057365505,102.5926743453572,102.60133088236685,3400
2005-12-27,102.54939270019531,102.783072965758,102.54939270019531,102.66190786620798,53500
2005-12-28,102.54939270019531,103.40621153658822,102.41957106410524,103.40621153658822,5600
2005-12-29,102.64456939697266,102.6705323971664,102.4714783270136,102.53206086179938,94400
2005-12-30,102.56669616699219,102.56669616699219,102.09068574691207,102.09934228264137,94200
2006-01-03,104.12360382080078,104.21890803067936,103.17056833210027,103.17056833210027,118600
2006-01-04,105.13727569580078,105.25857074822595,104.60011378079925,104.82537224382621,227200
2006-01-05,104.91202545166016,105.01599548704237,104.74741449157857,104.77340534790274,264900
2006-01-06,105.37125396728516,105.46655820991096,105.12865714327285,105.26728389985131,145800
2006-01-09,104.77339935302734,104.81672185114586,104.53080922776812,104.75607431983104,111400
2006-01-10,104.65211486816406,104.70409658309222,104.40085889586827,104.44418139836561,85000
2006-01-11,105.15460968017578,105.30189558853252,104.9033537488165,104.94666963417068,184900
2006-01-12,104.35755157470703,104.40953990728399,104.14095225088234,104.29690402843958,225000
2006-01-13,105.22396087646484,105.31926511862923,104.50485606298015,104.50485606298015,66700
2006-01-17,104.97266387939453,104.98998891098813,104.5481245893792,104.66076043003346,76700
2006-01-18,105.0073471069336,105.47520242873742,104.70410938264037,105.34524151544414,469900
2006-01-19,104.88606262207031,105.09400274839868,104.6608040670122,104.6608040670122,43200
2006-01-20,105.24996948242188,105.2759603493815,104.71280066159922,104.97272255137204,52500
2006-01-23,106.7228012084961,106.73146703082065,106.38490684878049,106.48021106409368,161100
2006-01-24,106.49755096435547,106.64483691400393,106.39358752229143,106.44556924332345,153600
2006-01-25,106.19430541992188,106.5148747662103,106.13365787982256,106.5148747662103,162100
2006-01-26,105.93437957763672,106.3155964495001,105.8564070048024,106.22895805410003,44600
2006-01-27,104.9813461303711,106.06434261998065,104.87738269782362,105.995029258225,272400
2006-01-30,104.88606262207031,104.96404182196527,104.7214516180028,104.91205348533953,216000
2006-01-31,105.48385620117188,105.7524372105634,105.13729600867858,105.13729600867858,467300
2006-02-01,104.70556640625,105.14805946564152,104.64483258394058,104.98320768244876,133100
2006-02-02,104.98322296142578,105.06998463171055,104.60146366878344,104.68823195855933,54100
2006-02-03,104.34992218017578,104.37595665676388,104.01154679898318,104.02022495784588,243700
2006-02-06,103.81192779541016,104.03751344228682,103.69913166222612,103.93339546230727,151500
2006-02-07,103.89000701904297,104.06353697849862,103.6817776871873,104.03750913945305,190500
2006-02-08,103.8032455444336,103.8726575283465,103.56031022022955,103.82060185015737,196800
2006-02-09,104.06354522705078,104.080894914626,103.73384158769679,104.03751738594212,26300
2006-02-10,103.3347396850586,104.39324942621703,103.27400584513109,104.3672215833184,259000
2006-02-13,103.38678741455078,103.44752124591585,103.24796344600712,103.30869727737219,49000
2006-02-14,103.48224639892578,103.50828086413202,103.08313731917009,103.10049362930756,69300
2006-02-15,103.21326446533203,103.777225291742,103.15253062984121,103.63840131376777,22800
2006-02-16,103.30006408691406,103.30006408691406,103.10051281963969,103.13521882688175,145800
2006-02-17,103.65573120117188,103.72514317246738,103.16986064108313,103.16986064108313,184400
2006-02-21,103.5169448852539,103.61238472560355,103.29136582578417,103.42150504490428,56400
2006-02-22,103.42147064208984,103.51691045069174,103.20456318972012,103.28265331470809,23400
2006-02-23,103.50825500488281,103.7858963222848,103.48222054618071,103.7858963222848,26100
2006-02-24,103.0918197631836,103.39548900829513,103.0918197631836,103.36946116149888,116300
2006-02-27,102.9443359375,103.09183149913174,102.88360208156377,102.97904194367698,45400
2006-02-28,103.59506225585938,103.7165299719487,103.20462463743443,103.23065910759135,150800
2006-03-01,103.55679321289062,103.93905196292783,103.38304285095631,103.93905196292783,73300
2006-03-02,104.66014862060547,104.67752100886841,103.75663198342001,103.78269387989079,327700
2006-03-03,104.62535858154297,104.72961275708144,104.3212921880769,104.72961275708144,156200
2006-03-06,104.4776840209961,104.58193158223742,104.25180325805465,104.50374591130642,73200
2006-03-07,103.33091735839844,103.53941911490024,103.20929078142645,103.49597821105966,1895300
2006-03-08,103.70451354980469,103.79138875191444,103.49600511095761,103.60025933038115,913800
2006-03-09,103.61760711669922,103.73924032455609,103.53942144181067,103.73924032455609,748300
2006-03-10,103.66104125976562,103.66104125976562,103.20059686260811,103.27009965452083,25400
2006-03-13,104.02591705322266,104.08673033681583,103.73054014095605,103.73054014095605,25400
2006-03-14,104.51246643066406,104.64277592088396,104.09545617750102,104.09545617750102,189700
2006-03-15,104.99893951416016,105.04238041586898,104.71224547044439,104.86862343718471,59800
2006-03-16,105.9285659790039,106.03282021362344,105.459431865447,105.459431865447,50000
2006-03-17,106.1109848022461,106.20654950792466,105.65922979843597,105.96329630370747,102400
2006-03-20,105.87642669677734,105.97199140750197,105.7200486817873,105.89379908593044,67900
2006-03-21,105.18140411376953,105.52022201671936,105.09452891806619,105.52022201671936,191000
2006-03-22,105.11190032958984,105.37253254243149,105.08583843393619,105.26827833166433,59900
2006-03-23,104.23446655273438,105.00766716130815,104.10415042842514,105.00766716130815,129800
2006-03-24,104.76438903808594,104.86864324498823,104.2170693651914,104.28657216979295,114400
2006-03-27,104.53848266601562,104.77304627410655,104.52110365614209,104.7209225007864,49700
2006-03-28,104.53848266601562,105.25955912831216,104.45160750109862,105.24218011843863,181400
2006-03-29,104.78174591064453,104.88600009551566,104.44292809500196,104.44292809500196,51700
2006-03-30,105.88506317138672,105.91981456261558,105.46805973294067,105.58968628816662,66200
2006-03-31,105.52019500732422,105.72001387163273,105.33775515459952,105.42463032806592,30900
2006-04-03,105.71422576904297,105.76643913723662,104.85278153888702,104.88758823811642,76600
2006-04-04,106.77582550048828,106.88024561640566,106.59309527665803,106.59309527665803,133300
2006-04-05,107.0281753540039,107.20220225194481,106.81063841222748,106.9933686466756,241000
2006-04-06,106.50605773925781,106.6278778609202,106.271114191267,106.4277410103613,99300
2006-04-07,105.4010238647461,105.9666213871992,105.3575204483742,105.9666213871992,96000
2006-04-10,105.41841125488281,105.592438165935,105.20957763387996,105.42711459204575,112800
2006-04-11,105.87089538574219,105.8969987610396,105.61855169336428,105.61855169336428,97900
2006-04-12,105.4532241821289,105.68816118977085,105.3923140957994,105.49672759310626,82200
2006-04-13,105.54022979736328,105.55762983272047,105.25307942371197,105.29658947015646,41500
2006-04-17,106.77582550048828,107.06297584023591,106.54958523535073,106.60179861265954,219700
2006-04-18,107.33269500732422,107.34139834133903,106.89762124836571,107.0455447331239,227600
2006-04-19,107.97661590576172,108.03753261283596,107.18478501689083,107.20218504841236,116400
2006-04-20,107.41973114013672,107.55895795901166,107.13258744393234,107.42843447599144,95300
2006-04-21,107.6285629272461,107.72427969804062,107.31530924804575,107.41102601884027,79200
2006-04-24,108.18549346923828,108.23770022052777,107.5241791851969,107.74171616717219,129700
