Date,Close,High,Low,Open,Volume
2005-01-03,46.96656799316406,46.96656799316406,46.652760189200826,46.740625991244364,1497800
2005-01-04,46.702972412109375,46.98330662847253,46.65276201231462,46.97493663239765,90200
2005-01-05,46.74058151245117,46.82426542920444,46.63597901067086,46.7154779335327,120700
2005-01-06,46.77410888671875,46.841052904916786,46.67369126331236,46.67369126331236,43900
2005-01-07,46.753135681152344,46.828449613955456,46.62342959385288,46.824267812066246,68300
2005-01-10,46.67367935180664,46.7615451488905,46.61091715611306,46.7615451488905,73200
2005-01-11,46.782470703125,46.91636191746188,46.60255408458936,46.77410389882448,265900
2005-01-12,46.82845687866211,46.88285223381223,46.5899632531562,46.5899632531562,46100
2005-01-13,46.9539794921875,47.03347842856435,46.8200883948355,46.85774376961471,61100
2005-01-14,47.00840377807617,47.08790276878157,46.80756859090788,46.92472298212567,61300
2005-01-18,47.033512115478516,47.041878918461286,46.82430692651306,46.85359552527951,145600
2005-01-19,47.10462951660156,47.112996317524455,46.907976176634534,47.062789127552996,78900
2005-01-20,47.02097702026367,47.15068646301876,46.970769796685495,46.97913660320879,62200
2005-01-21,47.125553131103516,47.16739671682301,46.9247179654065,47.05442414292821,111900
2005-01-24,47.209251403808594,47.23017001078444,47.07954199479753,47.21761820815526,100500
2005-01-25,47.050254821777344,47.24690824819591,47.012599412744926,47.24690824819591,72900
2005-01-26,47.066978454589844,47.15902924053934,47.05024165785197,47.11300384756459,47000
2005-01-27,46.96656799316406,47.108825998696055,46.723889191966826,47.02096019665252,1000300
2005-01-28,47.23849868774414,47.28870585434456,47.11715938143384,47.133896167705835,64500
2005-01-31,47.23849868774414,47.27615406269446,47.08368580888983,47.08368580888983,83100
2005-02-01,47.22886657714844,47.333866283370945,47.186867335526784,47.30446649380212,57000
2005-02-02,47.18687438964844,47.304473565504054,47.12807480172063,47.19107527573963,118600
2005-02-03,47.24565887451172,47.24565887451172,47.048258947712576,47.165861290311355,46800
2005-02-04,47.39685821533203,47.54385713671265,47.18265795598533,47.52706000655729,749000
2005-02-07,47.413639068603516,47.52704047874311,47.39263785803401,47.45563828540769,218400
2005-02-08,47.58583450317383,47.59003218133292,47.42203533360389,47.58163362068026,101800
2005-02-09,47.75384521484375,47.79584764330467,47.56064622039808,47.615248095663105,78800
2005-02-10,47.58583450317383,47.69923269582437,47.46403454553615,47.69923269582437,56600
2005-02-11,47.4472770690918,47.53967734138928,47.35067591050697,47.50607665976522,65000
2005-02-14,47.527061462402344,47.58166014792013,47.375861651683266,47.539660912572884,69600
2005-02-15,47.45567321777344,47.53967491755071,47.35907526845108,47.438872877817985,52800
2005-02-16,47.22886657714844,47.5018664541943,47.165869316884326,47.5018664541943,194700
2005-02-17,47.12384796142578,47.291848064835335,46.9852508401232,47.08184873665726,73800
2005-02-18,47.04405975341797,47.077657217314545,46.96425896744941,47.03985886880486,55400
2005-02-22,47.00204086303711,47.060840405685,46.91383834473052,46.930638671820596,56400
2005-02-23,47.06925582885742,47.22885418688454,47.00625538078444,47.08185527760484,66900
2005-02-24,46.97685623168945,47.20785680962326,46.97685623168945,47.123855142949175,86400
2005-02-25,47.06082534790039,47.13222431193704,46.985225502351675,47.10282455001997,66600
2005-02-28,46.79628372192383,47.03988388967931,46.74588589710393,46.82988440802896,192300
2005-03-01,46.78741455078125,46.87595482393999,46.69465715507533,46.80849373007314,92400
2005-03-02,46.80430603027344,46.88441210318971,46.74949305663599,46.783223622455374,60300
2005-03-03,46.8000373840332,46.91387389744826,46.736793446926946,46.84219893653062,109400
2005-03-04,46.951820373535156,47.06565688410656,46.905441701930464,46.981333781218126,64100
