Date,Close,High,Low,Open,Volume
2005-01-03,48.074981689453125,49.052879352842325,47.81922357414879,48.966374577247805,16062600
2005-01-04,47.04441452026367,48.20660724857983,46.96166884973113,48.168999232280775,27450000
2005-01-05,46.10415267944336,47.11966148737562,46.10415267944336,46.991783833285155,29884200
2005-01-06,46.34861755371094,46.788671081210396,46.05524566585042,46.38998753236138,23061200
2005-01-07,45.833335876464844,46.60061018043131,45.807007963219654,46.45392568241848,20906200
2005-01-10,46.29970169067383,46.71342713213035,45.8483653671806,45.88597624921731,23449000
2005-01-11,45.73554611206055,46.100377823531865,45.60390654336661,46.070287959393994,23233800
2005-01-12,45.923606872558594,46.07405333490462,45.23155716310552,45.8032502765873,24791200
2005-01-13,45.784427642822266,46.21319802094489,45.56628050461211,45.99505088273473,18940600
2005-01-14,46.22074508666992,46.29972884613003,45.82206433810137,45.919852114845476,13541000
2005-01-18,46.76984786987305,46.94286023388642,46.04394660916121,46.11164734895136,16787600
2005-01-19,46.10037612915039,46.920306244843374,46.10037612915039,46.74729383670065,20194800
2005-01-20,45.8258171081543,46.2508285875332,45.74683335957279,45.9386526744294,29061600
2005-01-21,45.72051239013672,46.254597566189545,45.56630682029365,45.90481070102344,22309800
2005-01-24,45.37071228027344,46.07404775660821,45.197699873857204,45.85590055609446,18547200
2005-01-25,45.48731994628906,45.961222477345984,45.30678359908079,45.570065652529195,22059200
2005-01-26,46.09284973144531,46.2244892799738,45.55500568786295,45.667838356804396,18351600
2005-01-27,46.2244987487793,46.536674648899144,45.94241271435167,46.02891749130739,20795400
2005-01-28,46.1869010925293,46.37495850272766,45.64905678458084,46.37495850272766,20704200
2005-01-31,46.728485107421875,46.82627572364569,46.31475955043566,46.45768208989573,21879000
2005-02-01,46.99177169799805,47.15350113433583,46.66078892436122,46.73225163585598,20250400
2005-02-02,47.34908676147461,47.38669766345357,46.984254986270194,47.059479659755986,17766800
2005-02-03,47.089569091796875,47.27762648093269,46.732261200250036,47.224970641536906,14914600
2005-02-04,47.68381881713867,47.78913046873645,47.03690110643541,47.093318882513444,19564000
2005-02-07,47.67253875732422,47.97343166849504,47.45815349071143,47.78537431639514,12354400
2005-02-08,47.78913116455078,47.93957761310696,47.61611875304574,47.65749159813687,10688000
2005-02-09,46.76984786987305,47.9546093814374,46.76984786987305,47.947088352361405,27444000
2005-02-10,46.85260009765625,47.10083713482053,46.5667521707926,46.91653889709786,20379000
2005-02-11,47.616119384765625,47.668775212029765,46.5479550379474,46.882696883924055,18049200
2005-02-14,47.57474136352539,47.76656063884976,47.285134345078596,47.54089242233541,8975000
2005-02-15,47.616119384765625,47.901967353861956,47.326512334812826,47.634926267157404,14451600
2005-02-16,47.7590446472168,48.06745857854842,47.37164410572102,47.54089743810904,18858800
2005-02-17,47.3377799987793,48.0185464520729,47.296407166526784,47.91699678078809,17347600
2005-02-18,47.22119903564453,47.5446578887315,47.01433481464917,47.28513784230591,15579400
2005-02-22,46.29970169067383,47.27759897126007,46.26209080863712,46.97670904544004,27227400
2005-02-23,46.57426452636719,46.85258848458832,46.38244530606049,46.442625010284644,17492200
2005-02-24,47.01057815551758,47.07451983890297,46.17560301610716,46.517868789453495,16971800
2005-02-25,47.79288864135742,47.80040967179395,46.93910964522237,46.93910964522237,23738200
2005-02-28,47.49576187133789,47.86811460530418,47.14597510017946,47.72895400861928,18075400
2005-03-01,47.860591888427734,47.98471041855381,47.49576019840535,47.63868560989375,19476800
2005-03-02,47.77408218383789,48.24046355226113,47.578503825959466,47.657487559113854,21102400
2005-03-03,47.81545639038086,48.12011122070411,47.495759498622014,47.99223074228427,17486400
2005-03-04,48.40219497680664,48.48494065850368,47.962138657738464,48.199089852985146,16204600
2005-03-07,48.281829833984375,48.6240955006782,48.2404569980208,48.48117011479432,13329800
2005-03-08,47.822975158691406,48.394668126291286,47.785364270084166,48.28559741018835,15237000
2005-03-09,47.28136444091797,47.81920841571751,47.28136444091797,47.71765873970432,22694800
2005-03-10,47.07826232910156,47.64995811025581,46.81122131575018,47.349065291803406,22922000
2005-03-11,47.04441452026367,47.42805014692849,46.79241842875214,47.221188840123794,15532600
2005-03-14,47.39797592163086,47.39797592163086,46.965446287703216,47.18735259592504,14980800
2005-03-15,47.07826232910156,47.69885197370553,46.97671265285166,47.589778398754696,18482400
2005-03-16,46.81499099731445,47.11964294590869,46.61940977215918,46.916540690336845,21527600
2005-03-17,46.81499099731445,47.104598015548504,46.57803693105045,46.83379500811939,19603400
2005-03-18,46.5629997253418,46.901500650396635,46.44264313943784,46.84884482340911,24139800
2005-03-21,46.61943054199219,46.73978716896771,46.318540409317556,46.66832730482896,16590200
2005-03-22,46.29970169067383,47.206139156248234,46.29970169067383,46.67581625009364,30865000
2005-03-23,45.96122741699219,46.27340338971158,45.8897675562639,46.26212040483492,21073800
2005-03-24,46.13047790527344,46.56495882782506,46.09647647915959,46.2060414340607,14170800
2005-03-28,46.14936447143555,46.474280403625386,46.07002493670829,46.28537592595472,12566800
2005-03-29,45.48819351196289,46.50449752362575,45.280397457698285,46.07757449139959,21808800
2005-03-30,46.15693664550781,46.18338316697488,45.54488775371154,45.54488775371154,19132800
2005-03-31,46.14936447143555,46.23248290280321,45.90378807397296,46.22492510952238,20469400
2005-04-01,45.9566764831543,46.63673368747358,45.64687328617624,46.36848970200689,23993200
2005-04-04,46.12669372558594,46.23625866793918,45.48819855456674,45.881120211899706,30577600
2005-04-05,46.20980453491211,46.33826105672518,45.99823247834128,46.14179881923533,17858000
2005-04-06,46.35336685180664,46.7009502879426,46.22491034913304,46.3306963616568,19717800
2005-04-07,46.53471374511719,46.66317024852735,46.05111889511988,46.16068380370562,14978600
2005-04-08,45.8282356262207,46.59140858412345,45.767784798984714,46.493177431092015,19497000
2005-04-11,45.601531982421875,45.89622533860885,45.484412148618176,45.84710833801781,19150600
2005-04-12,46.02846908569336,46.1342551397293,45.0726128199995,45.53353735794839,32519000
2005-04-13,45.20485305786133,46.017143085542706,45.12928951897569,45.94157954665707,25937800
2005-04-14,44.29810333251953,45.431530283458194,44.29810333251953,45.23507088024183,36952400
2005-04-15,43.689823150634766,44.56256083090142,43.44802567313705,44.320763353403706,51555800
2005-04-18,43.969390869140625,44.11296007019656,43.30444939960182,43.606694735996015,35293400
2005-04-19,44.694793701171875,44.709903520504305,44.18852827994142,44.245200191024004,32092800
2005-04-20,43.995849609375,44.808139401314946,43.89384246455158,44.73257876681267,31657400
2005-04-21,45.07261276245117,45.102835290384434,43.84473356940192,44.46056117315556,32386400
2005-04-22,44.343441009521484,45.00460672436102,43.85606707954531,44.932822095793234,30021000
2005-04-25,44.75146484375,44.82702835624726,44.39254752736115,44.51344626490349,19041800
2005-04-26,44.12052917480469,45.00837963997002,43.84473025263446,44.56634385570034,30991400
2005-04-27,44.10164260864258,44.42277965863439,43.53492915014395,43.92029303364339,30928600
2005-04-28,42.975765228271484,43.93917914021627,42.975765228271484,43.92784245120295,30459400
2005-04-29,43.538692474365234,43.61047708057067,42.68862253438548,43.44046424555586,57488600
2005-05-02,43.98452377319336,44.00719427361508,43.47448219174113,43.65960779753704,25063400
2005-05-03,44.203636169433594,44.31697997925942,43.69737368577128,43.96561762774273,25104800
2005-05-04,44.694793701171875,44.789245925491805,43.98829002557567,44.11674366707327,23520000
2005-05-05,44.68724822998047,45.01972199602451,44.377444964091936,44.73258634783755,38436800
2005-05-06,44.845924377441406,45.12928110994197,44.64191006660029,45.06883317255113,23372200
2005-05-09,45.27663803100586,45.337088866405885,44.607917238506346,44.83082609097583,19355600
2005-05-10,44.73636245727539,45.276626528523536,44.5927932009012,45.01594029383783,28207600
2005-05-11,44.759033203125,44.89882068995332,44.20743240271052,44.8648192631423,32094000
2005-05-12,44.052520751953125,45.01593467841246,43.96562631204862,44.88370212913165,30449600
2005-05-13,43.89384078979492,44.282983519295556,43.40646693322656,44.20364399135931,37347200
2005-05-16,44.57014083862305,44.581474650646555,43.788076101998875,43.83719024825233,31343600
2005-05-17,44.834590911865234,44.845924720059244,44.143199787492804,44.396333994458736,22691400
2005-05-18,45.733768463134766,45.76021497081649,45.0385985887888,45.049932394587664,36759800
2005-05-19,45.84712600708008,45.99447130073255,45.5977735418429,45.68089199107335,26642600
2005-05-20,45.790443420410156,45.88111964344678,45.476864183715804,45.828226621235515,23165000
2005-05-23,46.09270095825195,46.281605470375936,45.80556529273635,45.84712451599995,27477400
2005-05-24,45.903785705566406,46.18714240745262,45.81311236804978,45.926453319332204,21963200
2005-05-25,45.55998611450195,45.94157401316431,45.45042404060911,45.91890639545599,22453600
2005-05-26,46.1946907043457,46.24002880783983,45.748876108572425,45.748876108572425,20049800
